project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	trigger_new_error_patches	failing_test_patches	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	avg_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	24	0	24	22	2	3	2096.548	83.86192	3276.191	225	9.0	1298120	51924.8	0.9708482500000002	0.03883393000000001
eureka	24	24	1	23	21	2	3	1891.391	78.80795833333333	6334.702	244	10.166666666666666	1892936	78872.33333333333	1.0973142499999997	0.04572142708333332
glide	87	83	4	78	66	12	2	6661.802999999999	76.57244827586206	9137.469	777	8.931034482758621	4561371	52429.55172413793	3.4315027500000017	0.039442560344827605
gson	32	30	1	29	28	1	2	2505.001	78.28128125	2922.291	386	12.0625	3097323	96791.34375	1.8494607500000002	0.057795648437500007
jadx	116	113	14	98	79	19	15	10720.944999999998	92.4219396551724	19069.412	1098	9.46551724137931	9060000	78103.44827586207	6.219814500000001	0.05361909051724139
libgdx	453	442	22	414	344	71	4	40454.62099999999	89.30379911699778	56397.649	3942	8.701986754966887	26027742	57456.384105960264	18.73983799999999	0.04136829580573949
litiengine	152	146	5	140	117	23	3	9923.362000000005	65.2852763157895	13079.944	1428	9.394736842105264	9403584	61865.68421052631	7.051092499999999	0.04638876644736842
mockito	36	33	0	32	28	4	6	2564.991	71.24975	5061.109	333	9.25	1637178	45477.166666666664	1.2615020000000001	0.035041722222222224
retrofit	13	13	0	13	13	0	0	848.059	65.23530769230769	1206.89	110	8.461538461538462	701813	53985.61538461538	0.43273999999999996	0.0332876923076923
spring-boot	84	79	5	74	60	14	8	11267.588999999998	134.13796428571428	25300.157	876	10.428571428571429	5129386	61064.119047619046	3.8578312500000003	0.045926562500000004
total	1022	987	52	925	778	148	46	88934.30999999997	87.0198727984344	141785.814	9419	9.21624266144814	62809453	61457.390410958906	44.91194424999999	0.04394515092954989
