ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	51	49871	0	14180	64051	0.204139	openai/gpt-5.1
2	5	1912	0	1418	3330	0.016570	openai/gpt-5.1
3	51	37971	0	11646	49617	0.163924	openai/gpt-5.1
4	51	26169	0	11071	37240	0.143421	openai/gpt-5.1
5	51	49690	0	10965	60655	0.171763	openai/gpt-5.1
6	37	46111	0	12566	58677	0.183299	openai/gpt-5.1
7	51	28092	0	14182	42274	0.176935	openai/gpt-5.1
8	51	28066	0	14473	42539	0.179813	openai/gpt-5.1
9	2	736	0	627	1363	0.007190	openai/gpt-5.1
10	2	1277	0	993	2270	0.011526	openai/gpt-5.1
11	4	3447	0	1730	5177	0.021609	openai/gpt-5.1
12	21	18739	0	8005	26744	0.103474	openai/gpt-5.1
13	9	5111	0	2546	7657	0.031849	openai/gpt-5.1
14	2	650	0	459	1109	0.005402	openai/gpt-5.1
15	6	4214	0	1928	6142	0.024548	openai/gpt-5.1
16	6	3100	0	1612	4712	0.019995	openai/gpt-5.1
17	2	980	0	721	1701	0.008435	openai/gpt-5.1
18	3	1486	0	800	2286	0.009858	openai/gpt-5.1
19	1	572	0	168	740	0.002395	openai/gpt-5.1
20	51	131639	2304	15323	149266	0.318067	openai/gpt-5.1
21	3	15904	0	794	16698	0.027820	openai/gpt-5.1
22	3	1440	0	945	2385	0.011250	openai/gpt-5.1
23	5	7656	0	1224	8880	0.021810	openai/gpt-5.1
24	25	58590	5504	10840	74934	0.182326	openai/gpt-5.1
25	1	494	0	83	577	0.001448	openai/gpt-5.1
26	5	689	0	456	1145	0.005421	openai/gpt-5.1
27	5	318	0	387	705	0.004268	openai/gpt-5.1
28	5	320	0	356	676	0.003960	openai/gpt-5.1
29	1	476	0	429	905	0.004885	openai/gpt-5.1
30	0	0	0	0	0	0.000000	openai/gpt-5.1
31	0	0	0	0	0	0.000000	openai/gpt-5.1
32	1	493	0	74	567	0.001356	openai/gpt-5.1
33	27	18742	0	6681	25423	0.090238	openai/gpt-5.1
34	3	1400	0	1037	2437	0.012120	openai/gpt-5.1
35	3	1420	0	1007	2427	0.011845	openai/gpt-5.1
36	25	43936	1152	10272	55360	0.157784	openai/gpt-5.1
37	5	2351	0	3044	5395	0.033379	openai/gpt-5.1
38	12	6148	0	2673	8821	0.034415	openai/gpt-5.1
39	12	0	0	0	0	0.000000	openai/gpt-5.1
40	5	5228	0	1849	7077	0.025025	openai/gpt-5.1
41	2	3671	0	1989	5660	0.024479	openai/gpt-5.1
42	3	960	0	826	1786	0.009460	openai/gpt-5.1
43	2	1100	0	761	1861	0.008985	openai/gpt-5.1
44	4	7539	0	3078	10617	0.040204	openai/gpt-5.1
45	1	800	0	394	1194	0.004940	openai/gpt-5.1
46	5	8209	0	2843	11052	0.038691	openai/gpt-5.1
47	1	275	0	353	628	0.003874	openai/gpt-5.1
48	3	19193	0	769	19962	0.031681	openai/gpt-5.1
49	3	10129	0	934	11063	0.022001	openai/gpt-5.1
50	6	4771	0	1802	6573	0.023984	openai/gpt-5.1
51	3	19210	0	814	20024	0.032153	openai/gpt-5.1
52	3	11898	0	939	12837	0.024263	openai/gpt-5.1
53	10	6886	0	3530	10416	0.043908	openai/gpt-5.1
54	5	4536	0	1408	5944	0.019750	openai/gpt-5.1
55	19	15180	0	4087	19267	0.059845	openai/gpt-5.1
56	1	531	0	527	1058	0.005934	openai/gpt-5.1
57	23	1536	0	1112	2648	0.013040	openai/gpt-5.1
58	1	515	0	104	619	0.001684	openai/gpt-5.1
59	23	0	0	0	0	0.000000	openai/gpt-5.1
60	2	3921	0	2788	6709	0.032781	openai/gpt-5.1
61	2	2395	1536	2327	6258	0.026456	openai/gpt-5.1
62	6	8172	0	1721	9893	0.027425	openai/gpt-5.1
63	2	0	0	0	0	0.000000	openai/gpt-5.1
64	51	280101	0	12444	292545	0.474566	openai/gpt-5.1
65	51	0	0	0	0	0.000000	openai/gpt-5.1
66	51	0	0	0	0	0.000000	openai/gpt-5.1
67	3	6474	0	859	7333	0.016683	openai/gpt-5.1
68	51	109889	2560	21157	133606	0.349251	openai/gpt-5.1
69	1	561	0	386	947	0.004561	openai/gpt-5.1
70	1	750	0	331	1081	0.004247	openai/gpt-5.1
71	4	1859	0	1291	3150	0.015234	openai/gpt-5.1
72	1	392	0	352	744	0.004010	openai/gpt-5.1
73	1	391	0	626	1017	0.006749	openai/gpt-5.1
74	1	578	0	171	749	0.002432	openai/gpt-5.1
75	1	275	0	298	573	0.003324	openai/gpt-5.1
76	36	37973	0	13544	51517	0.182906	openai/gpt-5.1
77	51	68457	0	17853	86310	0.264101	openai/gpt-5.1
78	1	485	0	66	551	0.001266	openai/gpt-5.1
79	1	493	0	70	563	0.001316	openai/gpt-5.1
80	6	4793	1152	1887	7832	0.025005	openai/gpt-5.1
81	4	3142	0	1606	4748	0.019988	openai/gpt-5.1
82	1	844	0	418	1262	0.005235	openai/gpt-5.1
83	1	683	0	245	928	0.003304	openai/gpt-5.1
84	10	0	0	0	0	0.000000	openai/gpt-5.1
85	3	1547	0	936	2483	0.011294	openai/gpt-5.1
86	6	2723	0	1310	4033	0.016504	openai/gpt-5.1
87	12	6723	0	2681	9404	0.035214	openai/gpt-5.1
88	4	5373	0	1576	6949	0.022476	openai/gpt-5.1
89	4	1016	0	779	1795	0.009060	openai/gpt-5.1
90	7	3288	0	1514	4802	0.019250	openai/gpt-5.1
91	2	1505	0	883	2388	0.010711	openai/gpt-5.1
92	4	0	0	0	0	0.000000	openai/gpt-5.1
93	51	0	0	0	0	0.000000	openai/gpt-5.1
94	2	937	0	723	1660	0.008401	openai/gpt-5.1
95	2	933	0	699	1632	0.008156	openai/gpt-5.1
96	17	12002	0	4641	16643	0.061413	openai/gpt-5.1
97	1	330	0	410	740	0.004512	openai/gpt-5.1
98	11	5170	0	2509	7679	0.031553	openai/gpt-5.1
99	5	7820	0	1767	9587	0.027445	openai/gpt-5.1
100	5	7809	0	1914	9723	0.028901	openai/gpt-5.1
101	4	4453	0	2772	7225	0.033286	openai/gpt-5.1
102	1	486	0	75	561	0.001358	openai/gpt-5.1
103	51	67811	0	35706	103517	0.441824	openai/gpt-5.1
104	51	42985	0	17166	60151	0.225391	openai/gpt-5.1
105	51	31750	0	13136	44886	0.171048	openai/gpt-5.1
106	2	1111	0	595	1706	0.007339	openai/gpt-5.1
107	1	461	0	559	1020	0.006166	openai/gpt-5.1
108	22	9271	0	9493	18764	0.106519	openai/gpt-5.1
109	6	4033	0	2586	6619	0.030901	openai/gpt-5.1
110	16	12718	0	6222	18940	0.078118	openai/gpt-5.1
111	12	9959	0	4590	14549	0.058349	openai/gpt-5.1
112	1	507	0	530	1037	0.005934	openai/gpt-5.1
113	10	5939	0	2324	8263	0.030664	openai/gpt-5.1
114	5	2166	0	1123	3289	0.013938	openai/gpt-5.1
115	12	11991	0	7651	19642	0.091499	openai/gpt-5.1
116	8	9577	0	5265	14842	0.064621	openai/gpt-5.1
117	1	510	0	83	593	0.001468	openai/gpt-5.1
118	0	0	0	0	0	0.000000	openai/gpt-5.1
119	0	0	0	0	0	0.000000	openai/gpt-5.1
120	1	832	0	417	1249	0.005210	openai/gpt-5.1
121	1	832	0	418	1250	0.005220	openai/gpt-5.1
122	1	832	0	469	1301	0.005730	openai/gpt-5.1
123	1	832	0	403	1235	0.005070	openai/gpt-5.1
124	6	6821	0	3797	10618	0.046496	openai/gpt-5.1
125	6	4083	0	1852	5935	0.023624	openai/gpt-5.1
126	6	3189	0	1697	4886	0.020956	openai/gpt-5.1
127	2	913	0	546	1459	0.006601	openai/gpt-5.1
128	40	10855	0	5693	16548	0.070499	openai/gpt-5.1
129	15	10258	0	5816	16074	0.070983	openai/gpt-5.1
130	15	0	0	0	0	0.000000	openai/gpt-5.1
131	10	7636	0	4312	11948	0.052665	openai/gpt-5.1
132	10	0	0	0	0	0.000000	openai/gpt-5.1
133	2	1152	0	978	2130	0.011220	openai/gpt-5.1
134	2	1442	0	1102	2544	0.012823	openai/gpt-5.1
135	2	956	0	778	1734	0.008975	openai/gpt-5.1
136	16	10733	0	6276	17009	0.076176	openai/gpt-5.1
137	16	0	0	0	0	0.000000	openai/gpt-5.1
138	8	3476	0	2039	5515	0.024735	openai/gpt-5.1
139	8	0	0	0	0	0.000000	openai/gpt-5.1
140	9	0	0	0	0	0.000000	openai/gpt-5.1
141	15	6389	0	4464	10853	0.052626	openai/gpt-5.1
142	15	0	0	0	0	0.000000	openai/gpt-5.1
143	8	4956	0	2173	7129	0.027925	openai/gpt-5.1
144	8	0	0	0	0	0.000000	openai/gpt-5.1
145	2	1061	0	795	1856	0.009276	openai/gpt-5.1
146	12	16101	0	5448	21549	0.074606	openai/gpt-5.1
147	12	0	0	0	0	0.000000	openai/gpt-5.1
148	12	0	0	0	0	0.000000	openai/gpt-5.1
149	12	0	0	0	0	0.000000	openai/gpt-5.1
150	4	736	0	487	1223	0.005790	openai/gpt-5.1
151	1	722	0	552	1274	0.006423	openai/gpt-5.1
152	1	722	0	523	1245	0.006133	openai/gpt-5.1
153	1	725	0	553	1278	0.006436	openai/gpt-5.1
154	2	746	0	567	1313	0.006603	openai/gpt-5.1
155	22	18813	0	10068	28881	0.124196	openai/gpt-5.1
156	17	21018	0	11614	32632	0.142413	openai/gpt-5.1
157	11	5606	0	3090	8696	0.037908	openai/gpt-5.1
158	2	752	0	402	1154	0.004960	openai/gpt-5.1
159	1	569	0	146	715	0.002171	openai/gpt-5.1
160	1	0	0	0	0	0.000000	openai/gpt-5.1
161	22	0	0	0	0	0.000000	openai/gpt-5.1
162	18	6313	0	8050	14363	0.088391	openai/gpt-5.1
163	2	2946	0	1764	4710	0.021323	openai/gpt-5.1
164	22	0	0	0	0	0.000000	openai/gpt-5.1
165	4	3347	0	847	4194	0.012654	openai/gpt-5.1
166	5	2988	0	947	3935	0.013205	openai/gpt-5.1
167	1	645	0	228	873	0.003086	openai/gpt-5.1
168	2	826	0	514	1340	0.006172	openai/gpt-5.1
169	2	1251	0	736	1987	0.008924	openai/gpt-5.1
170	2	1079	0	809	1888	0.009439	openai/gpt-5.1
171	2	0	0	0	0	0.000000	openai/gpt-5.1
172	2	1321	0	593	1914	0.007581	openai/gpt-5.1
173	3	2853	0	1067	3920	0.014236	openai/gpt-5.1
174	2	865	0	540	1405	0.006481	openai/gpt-5.1
175	2	791	0	565	1356	0.006639	openai/gpt-5.1
176	10	0	0	0	0	0.000000	openai/gpt-5.1
177	7	4682	0	2787	7469	0.033723	openai/gpt-5.1
178	3	3766	0	2582	6348	0.030528	openai/gpt-5.1
179	36	0	0	0	0	0.000000	openai/gpt-5.1
180	12	7432	0	4355	11787	0.052840	openai/gpt-5.1
181	10	4112	0	2404	6516	0.029180	openai/gpt-5.1
182	0	0	0	0	0	0.000000	openai/gpt-5.1
183	4	2379	0	760	3139	0.010574	openai/gpt-5.1
184	24	18367	0	8328	26695	0.106239	openai/gpt-5.1
185	9	13602	0	6716	20318	0.084163	openai/gpt-5.1
186	2	940	0	607	1547	0.007245	openai/gpt-5.1
187	14	6439	0	3690	10129	0.044949	openai/gpt-5.1
188	14	0	0	0	0	0.000000	openai/gpt-5.1
189	2	1915	0	1065	2980	0.013044	openai/gpt-5.1
190	14	12919	0	5684	18603	0.072989	openai/gpt-5.1
191	5	6264	1408	3311	10983	0.041116	openai/gpt-5.1
192	2	2342	0	1404	3746	0.016968	openai/gpt-5.1
193	2	2334	0	1411	3745	0.017028	openai/gpt-5.1
194	4	3346	0	1632	4978	0.020503	openai/gpt-5.1
195	4	18670	0	1154	19824	0.034878	openai/gpt-5.1
196	8	9226	0	3965	13191	0.051183	openai/gpt-5.1
197	4	4978	0	1728	6706	0.023503	openai/gpt-5.1
198	3	2931	0	890	3821	0.012564	openai/gpt-5.1
199	3	4626	0	852	5478	0.014303	openai/gpt-5.1
200	3	10248	0	911	11159	0.021920	openai/gpt-5.1
201	29	19250	0	7209	26459	0.096153	openai/gpt-5.1
202	43	49643	1536	16299	67478	0.225236	openai/gpt-5.1
203	5	4343	0	2010	6353	0.025529	openai/gpt-5.1
204	3	10821	0	705	11526	0.020576	openai/gpt-5.1
205	3	32687	0	744	33431	0.048299	openai/gpt-5.1
206	27	11649	0	6390	18039	0.078461	openai/gpt-5.1
207	28	292	0	457	749	0.004935	openai/gpt-5.1
208	4	4891	0	1672	6563	0.022834	openai/gpt-5.1
209	2	1027	0	759	1786	0.008874	openai/gpt-5.1
210	11	5573	0	1914	7487	0.026106	openai/gpt-5.1
211	51	22691	0	8973	31664	0.118094	openai/gpt-5.1
212	1	514	0	104	618	0.001683	openai/gpt-5.1
213	51	0	0	0	0	0.000000	openai/gpt-5.1
214	3	3086	0	864	3950	0.012498	openai/gpt-5.1
215	12	20293	0	5121	25414	0.076576	openai/gpt-5.1
216	43	36820	0	12998	49818	0.176005	openai/gpt-5.1
217	15	26970	0	9253	36223	0.126243	openai/gpt-5.1
218	22	5275	0	1770	7045	0.024294	openai/gpt-5.1
219	6	3700	0	1730	5430	0.021925	openai/gpt-5.1
220	10	7135	0	3693	10828	0.045849	openai/gpt-5.1
221	10	0	0	0	0	0.000000	openai/gpt-5.1
222	1	380	0	866	1246	0.009135	openai/gpt-5.1
223	8	3129	0	2141	5270	0.025321	openai/gpt-5.1
224	7	0	0	0	0	0.000000	openai/gpt-5.1
225	10	4701	0	2403	7104	0.029906	openai/gpt-5.1
226	9	0	0	0	0	0.000000	openai/gpt-5.1
227	1	345	0	424	769	0.004671	openai/gpt-5.1
228	2	739	0	485	1224	0.005774	openai/gpt-5.1
229	43	30863	0	14735	45598	0.185929	openai/gpt-5.1
230	43	0	0	0	0	0.000000	openai/gpt-5.1
231	43	0	0	0	0	0.000000	openai/gpt-5.1
232	43	0	0	0	0	0.000000	openai/gpt-5.1
233	43	0	0	0	0	0.000000	openai/gpt-5.1
234	2	1145	0	816	1961	0.009591	openai/gpt-5.1
235	22	107305	0	36878	144183	0.502911	openai/gpt-5.1
236	26	75448	10624	21085	107157	0.306488	openai/gpt-5.1
237	24	101592	0	37739	139331	0.504380	openai/gpt-5.1
238	24	125139	6912	34998	167049	0.507268	openai/gpt-5.1
239	23	97090	0	40523	137613	0.526593	openai/gpt-5.1
240	30	66851	26752	41975	135578	0.506658	openai/gpt-5.1
241	25	81879	0	41769	123648	0.520039	openai/gpt-5.1
242	45	75107	2432	30013	107552	0.394318	openai/gpt-5.1
